20231205-08:48:05 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 1/25
20231205-09:15:43 | train_and_evaluate | PID:26756 | DEBUG | Epoch [10/25] - Train Loss: 2.9498 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:15:43 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 11/25
20231205-09:18:11 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 11 start
20231205-09:18:29 | train_and_evaluate | PID:26756 | DEBUG | Epoch [11/25] - Train Loss: 2.9498 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:18:29 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 12/25
20231205-09:20:57 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 12 start
20231205-09:21:15 | train_and_evaluate | PID:26756 | DEBUG | Epoch [12/25] - Train Loss: 2.9498 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:21:15 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 13/25
20231205-09:23:43 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 13 start
20231205-09:24:01 | train_and_evaluate | PID:26756 | DEBUG | Epoch [13/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:24:01 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 14/25
20231205-09:26:29 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 14 start
20231205-09:26:47 | train_and_evaluate | PID:26756 | DEBUG | Epoch [14/25] - Train Loss: 2.9498 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9793 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:26:47 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 15/25
20231205-09:29:14 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 15 start
20231205-09:29:33 | train_and_evaluate | PID:26756 | DEBUG | Epoch [15/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9793 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:29:33 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 16/25
20231205-09:32:00 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 16 start
20231205-09:32:18 | train_and_evaluate | PID:26756 | DEBUG | Epoch [16/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:32:18 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 17/25
20231205-09:34:46 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 17 start
20231205-09:35:04 | train_and_evaluate | PID:26756 | DEBUG | Epoch [17/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:35:04 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 18/25
20231205-09:37:32 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 18 start
20231205-09:37:50 | train_and_evaluate | PID:26756 | DEBUG | Epoch [18/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:37:50 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 19/25
20231205-09:40:18 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 19 start
20231205-09:40:36 | train_and_evaluate | PID:26756 | DEBUG | Epoch [19/25] - Train Loss: 2.9498 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:40:36 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 20/25
20231205-09:43:03 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 20 start
20231205-09:43:22 | train_and_evaluate | PID:26756 | DEBUG | Epoch [20/25] - Train Loss: 2.9498 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:43:22 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 21/25
20231205-09:45:49 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 21 start
20231205-09:46:07 | train_and_evaluate | PID:26756 | DEBUG | Epoch [21/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9795 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:46:07 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 22/25
20231205-09:48:35 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 22 start
20231205-09:48:53 | train_and_evaluate | PID:26756 | DEBUG | Epoch [22/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9793 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:48:53 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 23/25
20231205-09:51:21 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 23 start
20231205-09:51:39 | train_and_evaluate | PID:26756 | DEBUG | Epoch [23/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9793 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:51:39 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 24/25
20231205-09:54:07 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 24 start
20231205-09:54:25 | train_and_evaluate | PID:26756 | DEBUG | Epoch [24/25] - Train Loss: 2.9498 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9793 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:54:25 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 25/25
20231205-09:56:53 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 25 start
20231205-09:57:11 | train_and_evaluate | PID:26756 | DEBUG | Epoch [25/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:57:29 | <module> | PID:26756 | DEBUG | Test evalution reportNone
